{'first_graph_creation_time': 1524076379.1048567, 'node_count': 99, 'second_graph_creation_time': 1524076379.1226382, 'matching_time': 1524076379.1297576, 'greatest_constraints_time': 1524076379.1281483, 'graph_edge_sort_time': 1524076379.1279643, 'number_of_matches': 70, 'start_time': 1524076379.0773325}
{'first_graph_creation_time': 1524076379.1537557, 'node_count': 92, 'second_graph_creation_time': 1524076379.172607, 'matching_time': 1524076379.1780646, 'greatest_constraints_time': 1524076379.1770997, 'graph_edge_sort_time': 1524076379.1769495, 'number_of_matches': 49, 'start_time': 1524076379.1300294}
{'first_graph_creation_time': 1524076379.2081478, 'node_count': 107, 'second_graph_creation_time': 1524076379.2290242, 'matching_time': 1524076379.235498, 'greatest_constraints_time': 1524076379.2343416, 'graph_edge_sort_time': 1524076379.2341502, 'number_of_matches': 57, 'start_time': 1524076379.1784391}
{'first_graph_creation_time': 1524076379.2642972, 'node_count': 103, 'second_graph_creation_time': 1524076379.284201, 'matching_time': 1524076379.2900655, 'greatest_constraints_time': 1524076379.2892385, 'graph_edge_sort_time': 1524076379.2890832, 'number_of_matches': 42, 'start_time': 1524076379.2358365}
{'first_graph_creation_time': 1524076379.3148131, 'node_count': 91, 'second_graph_creation_time': 1524076379.330357, 'matching_time': 1524076379.3361704, 'greatest_constraints_time': 1524076379.3350167, 'graph_edge_sort_time': 1524076379.3348742, 'number_of_matches': 55, 'start_time': 1524076379.290467}
{'first_graph_creation_time': 1524076379.361604, 'node_count': 94, 'second_graph_creation_time': 1524076379.3775437, 'matching_time': 1524076379.3833678, 'greatest_constraints_time': 1524076379.3822, 'graph_edge_sort_time': 1524076379.382049, 'number_of_matches': 57, 'start_time': 1524076379.3366413}
{'first_graph_creation_time': 1524076379.4104445, 'node_count': 98, 'second_graph_creation_time': 1524076379.428373, 'matching_time': 1524076379.432943, 'greatest_constraints_time': 1524076379.4323962, 'graph_edge_sort_time': 1524076379.432261, 'number_of_matches': 35, 'start_time': 1524076379.3837497}
{'first_graph_creation_time': 1524076379.4569557, 'node_count': 92, 'second_graph_creation_time': 1524076379.4727786, 'matching_time': 1524076379.4772751, 'greatest_constraints_time': 1524076379.4766355, 'graph_edge_sort_time': 1524076379.4765115, 'number_of_matches': 38, 'start_time': 1524076379.4332247}
{'first_graph_creation_time': 1524076379.50138, 'node_count': 90, 'second_graph_creation_time': 1524076379.5174315, 'matching_time': 1524076379.5222423, 'greatest_constraints_time': 1524076379.5215678, 'graph_edge_sort_time': 1524076379.5214002, 'number_of_matches': 39, 'start_time': 1524076379.4776285}
{'first_graph_creation_time': 1524076379.5515292, 'node_count': 105, 'second_graph_creation_time': 1524076379.5721867, 'matching_time': 1524076379.5778995, 'greatest_constraints_time': 1524076379.577024, 'graph_edge_sort_time': 1524076379.5768547, 'number_of_matches': 46, 'start_time': 1524076379.5226336}
{'first_graph_creation_time': 1524076379.6057236, 'node_count': 100, 'second_graph_creation_time': 1524076379.6252022, 'matching_time': 1524076379.6302373, 'greatest_constraints_time': 1524076379.6296022, 'graph_edge_sort_time': 1524076379.6294646, 'number_of_matches': 39, 'start_time': 1524076379.578315}
{'first_graph_creation_time': 1524076379.658463, 'node_count': 102, 'second_graph_creation_time': 1524076379.6774507, 'matching_time': 1524076379.683867, 'greatest_constraints_time': 1524076379.6825113, 'graph_edge_sort_time': 1524076379.682366, 'number_of_matches': 59, 'start_time': 1524076379.6305475}
{'first_graph_creation_time': 1524076379.7097268, 'node_count': 97, 'second_graph_creation_time': 1524076379.7265975, 'matching_time': 1524076379.732847, 'greatest_constraints_time': 1524076379.7316067, 'graph_edge_sort_time': 1524076379.7314608, 'number_of_matches': 55, 'start_time': 1524076379.6840997}
{'first_graph_creation_time': 1524076379.7573352, 'node_count': 90, 'second_graph_creation_time': 1524076379.7724183, 'matching_time': 1524076379.7783692, 'greatest_constraints_time': 1524076379.7770984, 'graph_edge_sort_time': 1524076379.776949, 'number_of_matches': 60, 'start_time': 1524076379.7332451}
{'first_graph_creation_time': 1524076379.807896, 'node_count': 102, 'second_graph_creation_time': 1524076379.8265486, 'matching_time': 1524076379.8331256, 'greatest_constraints_time': 1524076379.8317988, 'graph_edge_sort_time': 1524076379.8316317, 'number_of_matches': 62, 'start_time': 1524076379.778641}
{'first_graph_creation_time': 1524076379.8638592, 'node_count': 103, 'second_graph_creation_time': 1524076379.8832462, 'matching_time': 1524076379.8885334, 'greatest_constraints_time': 1524076379.8878033, 'graph_edge_sort_time': 1524076379.8876631, 'number_of_matches': 41, 'start_time': 1524076379.8334603}
{'first_graph_creation_time': 1524076379.9166334, 'node_count': 101, 'second_graph_creation_time': 1524076379.9349434, 'matching_time': 1524076379.943107, 'greatest_constraints_time': 1524076379.941297, 'graph_edge_sort_time': 1524076379.9411077, 'number_of_matches': 72, 'start_time': 1524076379.8888197}
{'first_graph_creation_time': 1524076379.969445, 'node_count': 94, 'second_graph_creation_time': 1524076379.9859536, 'matching_time': 1524076379.9923666, 'greatest_constraints_time': 1524076379.9910307, 'graph_edge_sort_time': 1524076379.9908745, 'number_of_matches': 59, 'start_time': 1524076379.9435697}
{'first_graph_creation_time': 1524076380.0203876, 'node_count': 98, 'second_graph_creation_time': 1524076380.0382957, 'matching_time': 1524076380.0444067, 'greatest_constraints_time': 1524076380.0432389, 'graph_edge_sort_time': 1524076380.0430853, 'number_of_matches': 58, 'start_time': 1524076379.992773}
{'first_graph_creation_time': 1524076380.0703614, 'node_count': 97, 'second_graph_creation_time': 1524076380.0885944, 'matching_time': 1524076380.0935957, 'greatest_constraints_time': 1524076380.0928159, 'graph_edge_sort_time': 1524076380.0926735, 'number_of_matches': 41, 'start_time': 1524076380.0446963}
{'first_graph_creation_time': 1524076380.1228454, 'node_count': 104, 'second_graph_creation_time': 1524076380.1420195, 'matching_time': 1524076380.1491816, 'greatest_constraints_time': 1524076380.1474674, 'graph_edge_sort_time': 1524076380.1472874, 'number_of_matches': 66, 'start_time': 1524076380.0939367}
{'first_graph_creation_time': 1524076380.177493, 'node_count': 100, 'second_graph_creation_time': 1524076380.197093, 'matching_time': 1524076380.2021086, 'greatest_constraints_time': 1524076380.2015324, 'graph_edge_sort_time': 1524076380.2013898, 'number_of_matches': 36, 'start_time': 1524076380.1495502}
{'first_graph_creation_time': 1524076380.232589, 'node_count': 107, 'second_graph_creation_time': 1524076380.2531297, 'matching_time': 1524076380.259302, 'greatest_constraints_time': 1524076380.2582912, 'graph_edge_sort_time': 1524076380.2581234, 'number_of_matches': 54, 'start_time': 1524076380.2024243}
{'first_graph_creation_time': 1524076380.2858346, 'node_count': 97, 'second_graph_creation_time': 1524076380.3036883, 'matching_time': 1524076380.3083358, 'greatest_constraints_time': 1524076380.307781, 'graph_edge_sort_time': 1524076380.3076534, 'number_of_matches': 36, 'start_time': 1524076380.2595594}
{'first_graph_creation_time': 1524076380.3369946, 'node_count': 106, 'second_graph_creation_time': 1524076380.3576896, 'matching_time': 1524076380.3634636, 'greatest_constraints_time': 1524076380.3627257, 'graph_edge_sort_time': 1524076380.3625753, 'number_of_matches': 42, 'start_time': 1524076380.3086154}
{'first_graph_creation_time': 1524076380.3901188, 'node_count': 94, 'second_graph_creation_time': 1524076380.40662, 'matching_time': 1524076380.4129303, 'greatest_constraints_time': 1524076380.4117208, 'graph_edge_sort_time': 1524076380.4115613, 'number_of_matches': 57, 'start_time': 1524076380.3637877}
{'first_graph_creation_time': 1524076380.4379957, 'node_count': 95, 'second_graph_creation_time': 1524076380.4539392, 'matching_time': 1524076380.4595354, 'greatest_constraints_time': 1524076380.4584816, 'graph_edge_sort_time': 1524076380.458339, 'number_of_matches': 54, 'start_time': 1524076380.4132438}
{'first_graph_creation_time': 1524076380.490158, 'node_count': 109, 'second_graph_creation_time': 1524076380.5101807, 'matching_time': 1524076380.5184615, 'greatest_constraints_time': 1524076380.516553, 'graph_edge_sort_time': 1524076380.5163524, 'number_of_matches': 74, 'start_time': 1524076380.459878}
{'first_graph_creation_time': 1524076380.54676, 'node_count': 91, 'second_graph_creation_time': 1524076380.5631626, 'matching_time': 1524076380.5682144, 'greatest_constraints_time': 1524076380.567552, 'graph_edge_sort_time': 1524076380.5674143, 'number_of_matches': 38, 'start_time': 1524076380.5188458}
{'first_graph_creation_time': 1524076380.5983741, 'node_count': 103, 'second_graph_creation_time': 1524076380.618793, 'matching_time': 1524076380.626197, 'greatest_constraints_time': 1524076380.6246905, 'graph_edge_sort_time': 1524076380.6245108, 'number_of_matches': 65, 'start_time': 1524076380.5686083}
{'first_graph_creation_time': 1524076380.6530077, 'node_count': 97, 'second_graph_creation_time': 1524076380.6714494, 'matching_time': 1524076380.676111, 'greatest_constraints_time': 1524076380.6755917, 'graph_edge_sort_time': 1524076380.675469, 'number_of_matches': 34, 'start_time': 1524076380.6266031}
