{'first_graph_creation_time': 1524078483.9443436, 'matching_time': 1524078483.9697778, 'number_of_matches': 66, 'second_graph_creation_time': 1524078483.9641705, 'start_time': 1524078483.9195719, 'node_count': 203, 'greatest_constraints_time': 1524078483.9687743, 'graph_edge_sort_time': 1524078483.968491}
{'first_graph_creation_time': 1524078483.9928672, 'matching_time': 1524078484.0174456, 'number_of_matches': 99, 'second_graph_creation_time': 1524078484.010997, 'start_time': 1524078483.970062, 'node_count': 192, 'greatest_constraints_time': 1524078484.0158386, 'graph_edge_sort_time': 1524078484.015513}
{'first_graph_creation_time': 1524078484.0415092, 'matching_time': 1524078484.0650938, 'number_of_matches': 72, 'second_graph_creation_time': 1524078484.0596497, 'start_time': 1524078484.0177274, 'node_count': 202, 'greatest_constraints_time': 1524078484.0640256, 'graph_edge_sort_time': 1524078484.063748}
{'first_graph_creation_time': 1524078484.088315, 'matching_time': 1524078484.1128564, 'number_of_matches': 87, 'second_graph_creation_time': 1524078484.1070063, 'start_time': 1524078484.0653813, 'node_count': 209, 'greatest_constraints_time': 1524078484.1115916, 'graph_edge_sort_time': 1524078484.1113021}
{'first_graph_creation_time': 1524078484.134956, 'matching_time': 1524078484.1594243, 'number_of_matches': 124, 'second_graph_creation_time': 1524078484.1515818, 'start_time': 1524078484.1131375, 'node_count': 206, 'greatest_constraints_time': 1524078484.1572697, 'graph_edge_sort_time': 1524078484.156933}
{'first_graph_creation_time': 1524078484.1832476, 'matching_time': 1524078484.21169, 'number_of_matches': 126, 'second_graph_creation_time': 1524078484.203392, 'start_time': 1524078484.1597128, 'node_count': 209, 'greatest_constraints_time': 1524078484.20956, 'graph_edge_sort_time': 1524078484.209017}
{'first_graph_creation_time': 1524078484.2326405, 'matching_time': 1524078484.2541556, 'number_of_matches': 66, 'second_graph_creation_time': 1524078484.2491453, 'start_time': 1524078484.2119918, 'node_count': 183, 'greatest_constraints_time': 1524078484.2532218, 'graph_edge_sort_time': 1524078484.252959}
{'first_graph_creation_time': 1524078484.2789228, 'matching_time': 1524078484.3057907, 'number_of_matches': 147, 'second_graph_creation_time': 1524078484.2977529, 'start_time': 1524078484.2544365, 'node_count': 218, 'greatest_constraints_time': 1524078484.303555, 'graph_edge_sort_time': 1524078484.3031974}
{'first_graph_creation_time': 1524078484.3296752, 'matching_time': 1524078484.3551261, 'number_of_matches': 105, 'second_graph_creation_time': 1524078484.3480499, 'start_time': 1524078484.3060694, 'node_count': 216, 'greatest_constraints_time': 1524078484.3534002, 'graph_edge_sort_time': 1524078484.353079}
{'first_graph_creation_time': 1524078484.3803773, 'matching_time': 1524078484.4071095, 'number_of_matches': 134, 'second_graph_creation_time': 1524078484.399012, 'start_time': 1524078484.355449, 'node_count': 213, 'greatest_constraints_time': 1524078484.4049833, 'graph_edge_sort_time': 1524078484.4046087}
{'first_graph_creation_time': 1524078484.430529, 'matching_time': 1524078484.455344, 'number_of_matches': 101, 'second_graph_creation_time': 1524078484.4482896, 'start_time': 1524078484.4078286, 'node_count': 197, 'greatest_constraints_time': 1524078484.4539053, 'graph_edge_sort_time': 1524078484.4535213}
{'first_graph_creation_time': 1524078484.4787736, 'matching_time': 1524078484.503939, 'number_of_matches': 94, 'second_graph_creation_time': 1524078484.4972782, 'start_time': 1524078484.4556282, 'node_count': 191, 'greatest_constraints_time': 1524078484.5024478, 'graph_edge_sort_time': 1524078484.502179}
{'first_graph_creation_time': 1524078484.529452, 'matching_time': 1524078484.555109, 'number_of_matches': 127, 'second_graph_creation_time': 1524078484.5476184, 'start_time': 1524078484.5042744, 'node_count': 203, 'greatest_constraints_time': 1524078484.5532424, 'graph_edge_sort_time': 1524078484.55291}
{'first_graph_creation_time': 1524078484.5803475, 'matching_time': 1524078484.6077342, 'number_of_matches': 118, 'second_graph_creation_time': 1524078484.5999734, 'start_time': 1524078484.5553975, 'node_count': 210, 'greatest_constraints_time': 1524078484.6056378, 'graph_edge_sort_time': 1524078484.605324}
{'first_graph_creation_time': 1524078484.630428, 'matching_time': 1524078484.654175, 'number_of_matches': 110, 'second_graph_creation_time': 1524078484.647621, 'start_time': 1524078484.6079898, 'node_count': 184, 'greatest_constraints_time': 1524078484.6524718, 'graph_edge_sort_time': 1524078484.6521955}
{'first_graph_creation_time': 1524078484.6772385, 'matching_time': 1524078484.7018828, 'number_of_matches': 105, 'second_graph_creation_time': 1524078484.6950634, 'start_time': 1524078484.654408, 'node_count': 195, 'greatest_constraints_time': 1524078484.7000744, 'graph_edge_sort_time': 1524078484.6997063}
{'first_graph_creation_time': 1524078484.7268386, 'matching_time': 1524078484.7511508, 'number_of_matches': 76, 'second_graph_creation_time': 1524078484.745556, 'start_time': 1524078484.7022085, 'node_count': 205, 'greatest_constraints_time': 1524078484.750031, 'graph_edge_sort_time': 1524078484.7496543}
{'first_graph_creation_time': 1524078484.7771814, 'matching_time': 1524078484.8035882, 'number_of_matches': 121, 'second_graph_creation_time': 1524078484.7959585, 'start_time': 1524078484.7514386, 'node_count': 211, 'greatest_constraints_time': 1524078484.8015895, 'graph_edge_sort_time': 1524078484.8012593}
{'first_graph_creation_time': 1524078484.825238, 'matching_time': 1524078484.8476837, 'number_of_matches': 114, 'second_graph_creation_time': 1524078484.8413208, 'start_time': 1524078484.803927, 'node_count': 184, 'greatest_constraints_time': 1524078484.846044, 'graph_edge_sort_time': 1524078484.8457484}
