{'node_count': 294, 'graph_edge_sort_time': 1524080308.4235692, 'start_time': 1524080307.727275, 'second_graph_creation_time': 1524080308.3571136, 'number_of_matches': 267, 'first_graph_creation_time': 1524080308.0624385, 'matching_time': 1524080308.446502, 'greatest_constraints_time': 1524080308.4246118}
{'node_count': 312, 'graph_edge_sort_time': 1524080309.206506, 'start_time': 1524080308.4486191, 'second_graph_creation_time': 1524080309.1323516, 'number_of_matches': 298, 'first_graph_creation_time': 1524080308.8065836, 'matching_time': 1524080309.233336, 'greatest_constraints_time': 1524080309.207556}
{'node_count': 283, 'graph_edge_sort_time': 1524080309.883286, 'start_time': 1524080309.2336912, 'second_graph_creation_time': 1524080309.8276744, 'number_of_matches': 229, 'first_graph_creation_time': 1524080309.5456555, 'matching_time': 1524080309.9009848, 'greatest_constraints_time': 1524080309.8842974}
{'node_count': 312, 'graph_edge_sort_time': 1524080310.6834657, 'start_time': 1524080309.9013665, 'second_graph_creation_time': 1524080310.6259322, 'number_of_matches': 214, 'first_graph_creation_time': 1524080310.2669601, 'matching_time': 1524080310.699189, 'greatest_constraints_time': 1524080310.684399}
{'node_count': 274, 'graph_edge_sort_time': 1524080311.3023956, 'start_time': 1524080310.6995542, 'second_graph_creation_time': 1524080311.24372, 'number_of_matches': 244, 'first_graph_creation_time': 1524080310.991783, 'matching_time': 1524080311.3223715, 'greatest_constraints_time': 1524080311.303342}
{'node_count': 292, 'graph_edge_sort_time': 1524080312.026375, 'start_time': 1524080311.3227274, 'second_graph_creation_time': 1524080311.9616838, 'number_of_matches': 262, 'first_graph_creation_time': 1524080311.6581743, 'matching_time': 1524080312.0491853, 'greatest_constraints_time': 1524080312.02749}
{'node_count': 278, 'graph_edge_sort_time': 1524080312.6670449, 'start_time': 1524080312.049565, 'second_graph_creation_time': 1524080312.607617, 'number_of_matches': 249, 'first_graph_creation_time': 1524080312.3474717, 'matching_time': 1524080312.6874015, 'greatest_constraints_time': 1524080312.667901}
{'node_count': 271, 'graph_edge_sort_time': 1524080313.2743185, 'start_time': 1524080312.687725, 'second_graph_creation_time': 1524080313.216168, 'number_of_matches': 249, 'first_graph_creation_time': 1524080312.9746494, 'matching_time': 1524080313.2955744, 'greatest_constraints_time': 1524080313.27515}
{'node_count': 286, 'graph_edge_sort_time': 1524080313.9436443, 'start_time': 1524080313.2959683, 'second_graph_creation_time': 1524080313.8830063, 'number_of_matches': 259, 'first_graph_creation_time': 1524080313.6088288, 'matching_time': 1524080313.9649706, 'greatest_constraints_time': 1524080313.9446042}
{'node_count': 292, 'graph_edge_sort_time': 1524080314.6652367, 'start_time': 1524080313.9669335, 'second_graph_creation_time': 1524080314.612728, 'number_of_matches': 208, 'first_graph_creation_time': 1524080314.2930615, 'matching_time': 1524080314.680124, 'greatest_constraints_time': 1524080314.6660984}
