{'second_graph_creation_time': 1524078413.7153375, 'number_of_matches': 210, 'node_count': 210, 'greatest_constraints_time': 1524078413.7228966, 'first_graph_creation_time': 1524078413.69961, 'graph_edge_sort_time': 1524078413.7224646, 'matching_time': 1524078413.725956, 'start_time': 1524078413.6760685}
{'second_graph_creation_time': 1524078413.7579825, 'number_of_matches': 182, 'node_count': 182, 'greatest_constraints_time': 1524078413.7648842, 'first_graph_creation_time': 1524078413.7462068, 'graph_edge_sort_time': 1524078413.7645147, 'matching_time': 1524078413.7676747, 'start_time': 1524078413.7262566}
{'second_graph_creation_time': 1524078413.8059902, 'number_of_matches': 207, 'node_count': 207, 'greatest_constraints_time': 1524078413.8143904, 'first_graph_creation_time': 1524078413.791386, 'graph_edge_sort_time': 1524078413.8139207, 'matching_time': 1524078413.8175905, 'start_time': 1524078413.7679346}
{'second_graph_creation_time': 1524078413.8537421, 'number_of_matches': 190, 'node_count': 190, 'greatest_constraints_time': 1524078413.860892, 'first_graph_creation_time': 1524078413.8411446, 'graph_edge_sort_time': 1524078413.8604767, 'matching_time': 1524078413.863955, 'start_time': 1524078413.8179047}
{'second_graph_creation_time': 1524078413.8990672, 'number_of_matches': 182, 'node_count': 182, 'greatest_constraints_time': 1524078413.9063885, 'first_graph_creation_time': 1524078413.886463, 'graph_edge_sort_time': 1524078413.906016, 'matching_time': 1524078413.9093044, 'start_time': 1524078413.8643103}
{'second_graph_creation_time': 1524078413.9495072, 'number_of_matches': 205, 'node_count': 205, 'greatest_constraints_time': 1524078413.9578302, 'first_graph_creation_time': 1524078413.934588, 'graph_edge_sort_time': 1524078413.9574285, 'matching_time': 1524078413.9609783, 'start_time': 1524078413.9096599}
{'second_graph_creation_time': 1524078414.0057209, 'number_of_matches': 206, 'node_count': 206, 'greatest_constraints_time': 1524078414.014456, 'first_graph_creation_time': 1524078413.989802, 'graph_edge_sort_time': 1524078414.0139744, 'matching_time': 1524078414.018352, 'start_time': 1524078413.9613473}
{'second_graph_creation_time': 1524078414.0574405, 'number_of_matches': 207, 'node_count': 207, 'greatest_constraints_time': 1524078414.0657835, 'first_graph_creation_time': 1524078414.0428476, 'graph_edge_sort_time': 1524078414.0652773, 'matching_time': 1524078414.0692039, 'start_time': 1524078414.0187292}
{'second_graph_creation_time': 1524078414.1057928, 'number_of_matches': 187, 'node_count': 185, 'greatest_constraints_time': 1524078414.1162248, 'first_graph_creation_time': 1524078414.0916374, 'graph_edge_sort_time': 1524078414.115777, 'matching_time': 1524078414.1193838, 'start_time': 1524078414.069474}
{'second_graph_creation_time': 1524078414.1530492, 'number_of_matches': 182, 'node_count': 180, 'greatest_constraints_time': 1524078414.1605546, 'first_graph_creation_time': 1524078414.1408262, 'graph_edge_sort_time': 1524078414.1601732, 'matching_time': 1524078414.164598, 'start_time': 1524078414.1197531}
{'second_graph_creation_time': 1524078414.2049353, 'number_of_matches': 204, 'node_count': 203, 'greatest_constraints_time': 1524078414.2144842, 'first_graph_creation_time': 1524078414.1904337, 'graph_edge_sort_time': 1524078414.2139986, 'matching_time': 1524078414.2181456, 'start_time': 1524078414.164994}
{'second_graph_creation_time': 1524078414.2579947, 'number_of_matches': 209, 'node_count': 209, 'greatest_constraints_time': 1524078414.2658298, 'first_graph_creation_time': 1524078414.242333, 'graph_edge_sort_time': 1524078414.2652438, 'matching_time': 1524078414.2689807, 'start_time': 1524078414.2185235}
{'second_graph_creation_time': 1524078414.3016164, 'number_of_matches': 187, 'node_count': 186, 'greatest_constraints_time': 1524078414.3084629, 'first_graph_creation_time': 1524078414.2898705, 'graph_edge_sort_time': 1524078414.3080554, 'matching_time': 1524078414.311109, 'start_time': 1524078414.2692554}
{'second_graph_creation_time': 1524078414.3504593, 'number_of_matches': 203, 'node_count': 203, 'greatest_constraints_time': 1524078414.35887, 'first_graph_creation_time': 1524078414.3356707, 'graph_edge_sort_time': 1524078414.3583786, 'matching_time': 1524078414.3634465, 'start_time': 1524078414.3113797}
{'second_graph_creation_time': 1524078414.4024258, 'number_of_matches': 196, 'node_count': 196, 'greatest_constraints_time': 1524078414.4106095, 'first_graph_creation_time': 1524078414.3877044, 'graph_edge_sort_time': 1524078414.410066, 'matching_time': 1524078414.414375, 'start_time': 1524078414.3638766}
{'second_graph_creation_time': 1524078414.4539769, 'number_of_matches': 206, 'node_count': 206, 'greatest_constraints_time': 1524078414.461873, 'first_graph_creation_time': 1524078414.4396508, 'graph_edge_sort_time': 1524078414.4614518, 'matching_time': 1524078414.464996, 'start_time': 1524078414.4147556}
{'second_graph_creation_time': 1524078414.5049026, 'number_of_matches': 217, 'node_count': 217, 'greatest_constraints_time': 1524078414.5130546, 'first_graph_creation_time': 1524078414.490134, 'graph_edge_sort_time': 1524078414.5126576, 'matching_time': 1524078414.518359, 'start_time': 1524078414.4652693}
{'second_graph_creation_time': 1524078414.5560534, 'number_of_matches': 194, 'node_count': 194, 'greatest_constraints_time': 1524078414.5637064, 'first_graph_creation_time': 1524078414.5418563, 'graph_edge_sort_time': 1524078414.5632992, 'matching_time': 1524078414.5667036, 'start_time': 1524078414.518785}
