{'start_time': 1524078434.1231196, 'graph_edge_sort_time': 1524078434.1621308, 'second_graph_creation_time': 1524078434.1572616, 'matching_time': 1524078434.1638322, 'first_graph_creation_time': 1524078434.1433485, 'node_count': 188, 'number_of_matches': 145, 'greatest_constraints_time': 1524078434.1624465}
{'start_time': 1524078434.1640947, 'graph_edge_sort_time': 1524078434.2060316, 'second_graph_creation_time': 1524078434.2003458, 'matching_time': 1524078434.208097, 'first_graph_creation_time': 1524078434.1857293, 'node_count': 191, 'number_of_matches': 160, 'greatest_constraints_time': 1524078434.2063563}
{'start_time': 1524078434.2083871, 'graph_edge_sort_time': 1524078434.2455065, 'second_graph_creation_time': 1524078434.239667, 'matching_time': 1524078434.2473934, 'first_graph_creation_time': 1524078434.2282405, 'node_count': 183, 'number_of_matches': 182, 'greatest_constraints_time': 1524078434.2458503}
{'start_time': 1524078434.247659, 'graph_edge_sort_time': 1524078434.3010352, 'second_graph_creation_time': 1524078434.2940483, 'matching_time': 1524078434.3032823, 'first_graph_creation_time': 1524078434.2739477, 'node_count': 218, 'number_of_matches': 186, 'greatest_constraints_time': 1524078434.3014245}
{'start_time': 1524078434.3036342, 'graph_edge_sort_time': 1524078434.3486142, 'second_graph_creation_time': 1524078434.3427947, 'matching_time': 1524078434.3510513, 'first_graph_creation_time': 1524078434.3268023, 'node_count': 218, 'number_of_matches': 185, 'greatest_constraints_time': 1524078434.3490627}
{'start_time': 1524078434.351378, 'graph_edge_sort_time': 1524078434.3983562, 'second_graph_creation_time': 1524078434.391414, 'matching_time': 1524078434.4008722, 'first_graph_creation_time': 1524078434.375643, 'node_count': 209, 'number_of_matches': 203, 'greatest_constraints_time': 1524078434.39878}
{'start_time': 1524078434.401204, 'graph_edge_sort_time': 1524078434.4492717, 'second_graph_creation_time': 1524078434.4435298, 'matching_time': 1524078434.4512725, 'first_graph_creation_time': 1524078434.425427, 'node_count': 206, 'number_of_matches': 144, 'greatest_constraints_time': 1524078434.449651}
{'start_time': 1524078434.4516833, 'graph_edge_sort_time': 1524078434.4999824, 'second_graph_creation_time': 1524078434.4934175, 'matching_time': 1524078434.502411, 'first_graph_creation_time': 1524078434.476513, 'node_count': 215, 'number_of_matches': 188, 'greatest_constraints_time': 1524078434.5005116}
{'start_time': 1524078434.5026855, 'graph_edge_sort_time': 1524078434.5474265, 'second_graph_creation_time': 1524078434.541298, 'matching_time': 1524078434.5495875, 'first_graph_creation_time': 1524078434.5259025, 'node_count': 201, 'number_of_matches': 179, 'greatest_constraints_time': 1524078434.5478165}
{'start_time': 1524078434.5500162, 'graph_edge_sort_time': 1524078434.5901556, 'second_graph_creation_time': 1524078434.5843422, 'matching_time': 1524078434.5921235, 'first_graph_creation_time': 1524078434.5717416, 'node_count': 186, 'number_of_matches': 177, 'greatest_constraints_time': 1524078434.5905392}
{'start_time': 1524078434.5923736, 'graph_edge_sort_time': 1524078434.641951, 'second_graph_creation_time': 1524078434.6363592, 'matching_time': 1524078434.6437864, 'first_graph_creation_time': 1524078434.617073, 'node_count': 209, 'number_of_matches': 135, 'greatest_constraints_time': 1524078434.642286}
{'start_time': 1524078434.6440632, 'graph_edge_sort_time': 1524078434.6883051, 'second_graph_creation_time': 1524078434.6826165, 'matching_time': 1524078434.6902754, 'first_graph_creation_time': 1524078434.666486, 'node_count': 193, 'number_of_matches': 136, 'greatest_constraints_time': 1524078434.6886842}
{'start_time': 1524078434.6906524, 'graph_edge_sort_time': 1524078434.7397194, 'second_graph_creation_time': 1524078434.7323499, 'matching_time': 1524078434.742174, 'first_graph_creation_time': 1524078434.715797, 'node_count': 201, 'number_of_matches': 187, 'greatest_constraints_time': 1524078434.7403219}
{'start_time': 1524078434.7424512, 'graph_edge_sort_time': 1524078434.7887871, 'second_graph_creation_time': 1524078434.7822351, 'matching_time': 1524078434.7912016, 'first_graph_creation_time': 1524078434.7664015, 'node_count': 211, 'number_of_matches': 191, 'greatest_constraints_time': 1524078434.7892025}
{'start_time': 1524078434.7914503, 'graph_edge_sort_time': 1524078434.832656, 'second_graph_creation_time': 1524078434.8277385, 'matching_time': 1524078434.8345199, 'first_graph_creation_time': 1524078434.8117557, 'node_count': 187, 'number_of_matches': 143, 'greatest_constraints_time': 1524078434.8329885}
{'start_time': 1524078434.8348365, 'graph_edge_sort_time': 1524078434.8759148, 'second_graph_creation_time': 1524078434.8706934, 'matching_time': 1524078434.8778496, 'first_graph_creation_time': 1524078434.8551874, 'node_count': 191, 'number_of_matches': 144, 'greatest_constraints_time': 1524078434.8762586}
