{'greatest_constraints_time': 1524075990.784571, 'node_count': 101, 'graph_edge_sort_time': 1524075990.7844033, 'second_graph_creation_time': 1524075990.7824755, 'number_of_matches': 101, 'first_graph_creation_time': 1524075990.7795012, 'matching_time': 1524075990.785487, 'start_time': 1524075990.7742357}
{'greatest_constraints_time': 1524075990.7977724, 'node_count': 107, 'graph_edge_sort_time': 1524075990.797571, 'second_graph_creation_time': 1524075990.7956274, 'number_of_matches': 107, 'first_graph_creation_time': 1524075990.791178, 'matching_time': 1524075990.798897, 'start_time': 1524075990.785685}
{'greatest_constraints_time': 1524075990.8103514, 'node_count': 97, 'graph_edge_sort_time': 1524075990.810175, 'second_graph_creation_time': 1524075990.808254, 'number_of_matches': 97, 'first_graph_creation_time': 1524075990.8047888, 'matching_time': 1524075990.8112433, 'start_time': 1524075990.7992365}
{'greatest_constraints_time': 1524075990.8245223, 'node_count': 100, 'graph_edge_sort_time': 1524075990.824343, 'second_graph_creation_time': 1524075990.8220997, 'number_of_matches': 100, 'first_graph_creation_time': 1524075990.8177972, 'matching_time': 1524075990.8254485, 'start_time': 1524075990.8116384}
{'greatest_constraints_time': 1524075990.837768, 'node_count': 107, 'graph_edge_sort_time': 1524075990.837585, 'second_graph_creation_time': 1524075990.835482, 'number_of_matches': 107, 'first_graph_creation_time': 1524075990.8324847, 'matching_time': 1524075990.8386703, 'start_time': 1524075990.8258376}
{'greatest_constraints_time': 1524075990.8513398, 'node_count': 101, 'graph_edge_sort_time': 1524075990.8511508, 'second_graph_creation_time': 1524075990.8491778, 'number_of_matches': 102, 'first_graph_creation_time': 1524075990.845902, 'matching_time': 1524075990.852175, 'start_time': 1524075990.8391252}
{'greatest_constraints_time': 1524075990.8631978, 'node_count': 92, 'graph_edge_sort_time': 1524075990.8630195, 'second_graph_creation_time': 1524075990.860972, 'number_of_matches': 92, 'first_graph_creation_time': 1524075990.8575885, 'matching_time': 1524075990.8640356, 'start_time': 1524075990.8526309}
{'greatest_constraints_time': 1524075990.875763, 'node_count': 99, 'graph_edge_sort_time': 1524075990.8755505, 'second_graph_creation_time': 1524075990.8736167, 'number_of_matches': 99, 'first_graph_creation_time': 1524075990.8709092, 'matching_time': 1524075990.8768437, 'start_time': 1524075990.8644228}
{'greatest_constraints_time': 1524075990.8898737, 'node_count': 93, 'graph_edge_sort_time': 1524075990.8897016, 'second_graph_creation_time': 1524075990.887775, 'number_of_matches': 93, 'first_graph_creation_time': 1524075990.8848236, 'matching_time': 1524075990.8907635, 'start_time': 1524075990.8773139}
{'greatest_constraints_time': 1524075990.9056063, 'node_count': 107, 'graph_edge_sort_time': 1524075990.9053931, 'second_graph_creation_time': 1524075990.903196, 'number_of_matches': 107, 'first_graph_creation_time': 1524075990.8990638, 'matching_time': 1524075990.906728, 'start_time': 1524075990.8911235}
{'greatest_constraints_time': 1524075990.9197474, 'node_count': 105, 'graph_edge_sort_time': 1524075990.9195578, 'second_graph_creation_time': 1524075990.9169068, 'number_of_matches': 105, 'first_graph_creation_time': 1524075990.9133294, 'matching_time': 1524075990.920699, 'start_time': 1524075990.9070823}
{'greatest_constraints_time': 1524075990.9328704, 'node_count': 98, 'graph_edge_sort_time': 1524075990.9326184, 'second_graph_creation_time': 1524075990.9298892, 'number_of_matches': 98, 'first_graph_creation_time': 1524075990.9270556, 'matching_time': 1524075990.9342878, 'start_time': 1524075990.921043}
{'greatest_constraints_time': 1524075990.946884, 'node_count': 96, 'graph_edge_sort_time': 1524075990.9467053, 'second_graph_creation_time': 1524075990.9447522, 'number_of_matches': 96, 'first_graph_creation_time': 1524075990.9404688, 'matching_time': 1524075990.9480789, 'start_time': 1524075990.9346962}
{'greatest_constraints_time': 1524075990.9587274, 'node_count': 90, 'graph_edge_sort_time': 1524075990.958565, 'second_graph_creation_time': 1524075990.956723, 'number_of_matches': 90, 'first_graph_creation_time': 1524075990.9533343, 'matching_time': 1524075990.9594681, 'start_time': 1524075990.9484508}
