{'matching_time': 1524078586.105524, 'first_graph_creation_time': 1524078586.029127, 'second_graph_creation_time': 1524078586.0785882, 'number_of_matches': 195, 'graph_edge_sort_time': 1524078586.097556, 'start_time': 1524078585.958724, 'greatest_constraints_time': 1524078586.0980318, 'node_count': 195}
{'matching_time': 1524078586.2622583, 'first_graph_creation_time': 1524078586.1813679, 'second_graph_creation_time': 1524078586.2328274, 'number_of_matches': 201, 'graph_edge_sort_time': 1524078586.253023, 'start_time': 1524078586.1058524, 'greatest_constraints_time': 1524078586.2536206, 'node_count': 201}
{'matching_time': 1524078586.3973634, 'first_graph_creation_time': 1524078586.3261395, 'second_graph_creation_time': 1524078586.3722157, 'number_of_matches': 181, 'graph_edge_sort_time': 1524078586.3900914, 'start_time': 1524078586.2625968, 'greatest_constraints_time': 1524078586.3905325, 'node_count': 181}
{'matching_time': 1524078586.5333793, 'first_graph_creation_time': 1524078586.4649057, 'second_graph_creation_time': 1524078586.5092833, 'number_of_matches': 181, 'graph_edge_sort_time': 1524078586.5262127, 'start_time': 1524078586.399258, 'greatest_constraints_time': 1524078586.5266614, 'node_count': 181}
{'matching_time': 1524078586.693889, 'first_graph_creation_time': 1524078586.6095278, 'second_graph_creation_time': 1524078586.6629984, 'number_of_matches': 205, 'graph_edge_sort_time': 1524078586.6844347, 'start_time': 1524078586.533877, 'greatest_constraints_time': 1524078586.6850288, 'node_count': 205}
{'matching_time': 1524078586.8621073, 'first_graph_creation_time': 1524078586.7743425, 'second_graph_creation_time': 1524078586.8305914, 'number_of_matches': 219, 'graph_edge_sort_time': 1524078586.8530643, 'start_time': 1524078586.6942432, 'greatest_constraints_time': 1524078586.8536503, 'node_count': 219}
{'matching_time': 1524078587.0301778, 'first_graph_creation_time': 1524078586.9416847, 'second_graph_creation_time': 1524078586.998805, 'number_of_matches': 211, 'graph_edge_sort_time': 1524078587.0209987, 'start_time': 1524078586.8624618, 'greatest_constraints_time': 1524078587.0215428, 'node_count': 211}
{'matching_time': 1524078587.1773646, 'first_graph_creation_time': 1524078587.1003354, 'second_graph_creation_time': 1524078587.1478443, 'number_of_matches': 184, 'graph_edge_sort_time': 1524078587.1661866, 'start_time': 1524078587.0305433, 'greatest_constraints_time': 1524078587.1702785, 'node_count': 184}
{'matching_time': 1524078587.3358405, 'first_graph_creation_time': 1524078587.2522383, 'second_graph_creation_time': 1524078587.3054895, 'number_of_matches': 209, 'graph_edge_sort_time': 1524078587.3271601, 'start_time': 1524078587.1777148, 'greatest_constraints_time': 1524078587.3277245, 'node_count': 209}
{'matching_time': 1524078587.506075, 'first_graph_creation_time': 1524078587.4167, 'second_graph_creation_time': 1524078587.4745746, 'number_of_matches': 213, 'graph_edge_sort_time': 1524078587.4970417, 'start_time': 1524078587.3362372, 'greatest_constraints_time': 1524078587.497586, 'node_count': 213}
{'matching_time': 1524078587.6710744, 'first_graph_creation_time': 1524078587.5851452, 'second_graph_creation_time': 1524078587.640715, 'number_of_matches': 212, 'graph_edge_sort_time': 1524078587.662193, 'start_time': 1524078587.5064638, 'greatest_constraints_time': 1524078587.6627095, 'node_count': 212}
{'matching_time': 1524078587.8207352, 'first_graph_creation_time': 1524078587.7439253, 'second_graph_creation_time': 1524078587.7940128, 'number_of_matches': 195, 'graph_edge_sort_time': 1524078587.8128119, 'start_time': 1524078587.671451, 'greatest_constraints_time': 1524078587.8132956, 'node_count': 195}
{'matching_time': 1524078587.9860468, 'first_graph_creation_time': 1524078587.8977585, 'second_graph_creation_time': 1524078587.95237, 'number_of_matches': 213, 'graph_edge_sort_time': 1524078587.974075, 'start_time': 1524078587.821112, 'greatest_constraints_time': 1524078587.974598, 'node_count': 213}
{'matching_time': 1524078588.134493, 'first_graph_creation_time': 1524078588.0574362, 'second_graph_creation_time': 1524078588.1073902, 'number_of_matches': 191, 'graph_edge_sort_time': 1524078588.1261928, 'start_time': 1524078587.986437, 'greatest_constraints_time': 1524078588.126656, 'node_count': 191}
{'matching_time': 1524078588.2883375, 'first_graph_creation_time': 1524078588.2083113, 'second_graph_creation_time': 1524078588.259311, 'number_of_matches': 200, 'graph_edge_sort_time': 1524078588.2799175, 'start_time': 1524078588.134877, 'greatest_constraints_time': 1524078588.2804604, 'node_count': 200}
{'matching_time': 1524078588.4276419, 'first_graph_creation_time': 1524078588.3559482, 'second_graph_creation_time': 1524078588.402367, 'number_of_matches': 182, 'graph_edge_sort_time': 1524078588.4200785, 'start_time': 1524078588.288728, 'greatest_constraints_time': 1524078588.420545, 'node_count': 182}
{'matching_time': 1524078588.5753462, 'first_graph_creation_time': 1524078588.498581, 'second_graph_creation_time': 1524078588.5475967, 'number_of_matches': 198, 'graph_edge_sort_time': 1524078588.566715, 'start_time': 1524078588.4279506, 'greatest_constraints_time': 1524078588.5672665, 'node_count': 198}
{'matching_time': 1524078588.7131472, 'first_graph_creation_time': 1524078588.6426005, 'second_graph_creation_time': 1524078588.6876256, 'number_of_matches': 180, 'graph_edge_sort_time': 1524078588.7054908, 'start_time': 1524078588.5756793, 'greatest_constraints_time': 1524078588.7060385, 'node_count': 180}
