{'graph_edge_sort_time': 1524076009.7588773, 'node_count': 102, 'matching_time': 1524076009.759616, 'greatest_constraints_time': 1524076009.759097, 'first_graph_creation_time': 1524076009.7534559, 'second_graph_creation_time': 1524076009.7571523, 'start_time': 1524076009.7477117, 'number_of_matches': 77}
{'graph_edge_sort_time': 1524076009.7696793, 'node_count': 98, 'matching_time': 1524076009.7704003, 'greatest_constraints_time': 1524076009.7698612, 'first_graph_creation_time': 1524076009.7647789, 'second_graph_creation_time': 1524076009.7682242, 'start_time': 1524076009.7598917, 'number_of_matches': 79}
{'graph_edge_sort_time': 1524076009.7825308, 'node_count': 106, 'matching_time': 1524076009.783403, 'greatest_constraints_time': 1524076009.7827144, 'first_graph_creation_time': 1524076009.7770345, 'second_graph_creation_time': 1524076009.7805338, 'start_time': 1524076009.7707007, 'number_of_matches': 101}
{'graph_edge_sort_time': 1524076009.7941165, 'node_count': 103, 'matching_time': 1524076009.7948723, 'greatest_constraints_time': 1524076009.7942955, 'first_graph_creation_time': 1524076009.789041, 'second_graph_creation_time': 1524076009.792224, 'start_time': 1524076009.7836673, 'number_of_matches': 103}
{'graph_edge_sort_time': 1524076009.8055143, 'node_count': 104, 'matching_time': 1524076009.8061957, 'greatest_constraints_time': 1524076009.8056738, 'first_graph_creation_time': 1524076009.800475, 'second_graph_creation_time': 1524076009.8040228, 'start_time': 1524076009.7951267, 'number_of_matches': 84}
{'graph_edge_sort_time': 1524076009.816746, 'node_count': 102, 'matching_time': 1524076009.8175616, 'greatest_constraints_time': 1524076009.81693, 'first_graph_creation_time': 1524076009.8118036, 'second_graph_creation_time': 1524076009.815035, 'start_time': 1524076009.8064415, 'number_of_matches': 91}
{'graph_edge_sort_time': 1524076009.8278685, 'node_count': 98, 'matching_time': 1524076009.8284142, 'greatest_constraints_time': 1524076009.828012, 'first_graph_creation_time': 1524076009.822898, 'second_graph_creation_time': 1524076009.826569, 'start_time': 1524076009.81779, 'number_of_matches': 63}
{'graph_edge_sort_time': 1524076009.839714, 'node_count': 98, 'matching_time': 1524076009.8403602, 'greatest_constraints_time': 1524076009.8398802, 'first_graph_creation_time': 1524076009.8345268, 'second_graph_creation_time': 1524076009.8382077, 'start_time': 1524076009.8286188, 'number_of_matches': 76}
{'graph_edge_sort_time': 1524076009.8505976, 'node_count': 98, 'matching_time': 1524076009.8513665, 'greatest_constraints_time': 1524076009.8507767, 'first_graph_creation_time': 1524076009.8457756, 'second_graph_creation_time': 1524076009.848944, 'start_time': 1524076009.8407629, 'number_of_matches': 87}
{'graph_edge_sort_time': 1524076009.862017, 'node_count': 96, 'matching_time': 1524076009.8627884, 'greatest_constraints_time': 1524076009.8622272, 'first_graph_creation_time': 1524076009.857046, 'second_graph_creation_time': 1524076009.860178, 'start_time': 1524076009.8517776, 'number_of_matches': 94}
{'graph_edge_sort_time': 1524076009.8758445, 'node_count': 108, 'matching_time': 1524076009.876472, 'greatest_constraints_time': 1524076009.8760073, 'first_graph_creation_time': 1524076009.8687012, 'second_graph_creation_time': 1524076009.8742518, 'start_time': 1524076009.8631701, 'number_of_matches': 72}
{'graph_edge_sort_time': 1524076009.8880432, 'node_count': 107, 'matching_time': 1524076009.888845, 'greatest_constraints_time': 1524076009.8882337, 'first_graph_creation_time': 1524076009.882686, 'second_graph_creation_time': 1524076009.886151, 'start_time': 1524076009.8768275, 'number_of_matches': 105}
{'graph_edge_sort_time': 1524076009.899351, 'node_count': 90, 'matching_time': 1524076009.8999112, 'greatest_constraints_time': 1524076009.8994823, 'first_graph_creation_time': 1524076009.8944986, 'second_graph_creation_time': 1524076009.8980742, 'start_time': 1524076009.8891997, 'number_of_matches': 55}
