{'second_graph_creation_time': 1524078557.4379337, 'node_count': 195, 'first_graph_creation_time': 1524078557.3894408, 'matching_time': 1524078557.4614468, 'start_time': 1524078557.3186045, 'graph_edge_sort_time': 1524078557.4569952, 'number_of_matches': 195, 'greatest_constraints_time': 1524078557.4574695}
{'second_graph_creation_time': 1524078557.59337, 'node_count': 202, 'first_graph_creation_time': 1524078557.537215, 'matching_time': 1524078557.6185353, 'start_time': 1524078557.4617577, 'graph_edge_sort_time': 1524078557.6135223, 'number_of_matches': 202, 'greatest_constraints_time': 1524078557.614019}
{'second_graph_creation_time': 1524078557.7431247, 'node_count': 193, 'first_graph_creation_time': 1524078557.6933165, 'matching_time': 1524078557.7679086, 'start_time': 1524078557.6204634, 'graph_edge_sort_time': 1524078557.7624564, 'number_of_matches': 193, 'greatest_constraints_time': 1524078557.7629342}
{'second_graph_creation_time': 1524078557.887014, 'node_count': 197, 'first_graph_creation_time': 1524078557.8383644, 'matching_time': 1524078557.9105914, 'start_time': 1524078557.7682116, 'graph_edge_sort_time': 1524078557.9060397, 'number_of_matches': 197, 'greatest_constraints_time': 1524078557.9065409}
{'second_graph_creation_time': 1524078558.0565956, 'node_count': 213, 'first_graph_creation_time': 1524078557.9997492, 'matching_time': 1524078558.083594, 'start_time': 1524078557.9108756, 'graph_edge_sort_time': 1524078558.0783734, 'number_of_matches': 213, 'greatest_constraints_time': 1524078558.0788789}
{'second_graph_creation_time': 1524078558.2154782, 'node_count': 207, 'first_graph_creation_time': 1524078558.160734, 'matching_time': 1524078558.2419455, 'start_time': 1524078558.083883, 'graph_edge_sort_time': 1524078558.2363849, 'number_of_matches': 207, 'greatest_constraints_time': 1524078558.2369394}
{'second_graph_creation_time': 1524078558.3565881, 'node_count': 185, 'first_graph_creation_time': 1524078558.3077357, 'matching_time': 1524078558.378521, 'start_time': 1524078558.2422938, 'graph_edge_sort_time': 1524078558.3742673, 'number_of_matches': 185, 'greatest_constraints_time': 1524078558.3747222}
{'second_graph_creation_time': 1524078558.4886453, 'node_count': 183, 'first_graph_creation_time': 1524078558.443973, 'matching_time': 1524078558.51105, 'start_time': 1524078558.3788476, 'graph_edge_sort_time': 1524078558.506466, 'number_of_matches': 183, 'greatest_constraints_time': 1524078558.5069218}
{'second_graph_creation_time': 1524078558.6376877, 'node_count': 201, 'first_graph_creation_time': 1524078558.5852914, 'matching_time': 1524078558.6628113, 'start_time': 1524078558.511356, 'graph_edge_sort_time': 1524078558.657913, 'number_of_matches': 201, 'greatest_constraints_time': 1524078558.6583784}
{'second_graph_creation_time': 1524078558.7723176, 'node_count': 181, 'first_graph_creation_time': 1524078558.7283838, 'matching_time': 1524078558.793982, 'start_time': 1524078558.6631305, 'graph_edge_sort_time': 1524078558.789638, 'number_of_matches': 181, 'greatest_constraints_time': 1524078558.7900543}
